time,time_raw,flux
54958.4434593,54958.4434593,-231.2949150209408
54958.4638938,54958.4638938,-137.66053669192146
54958.4843285,54958.4843285,-171.61864572881467
54958.504763,54958.504763,-273.71155292077685
54958.5251976,54958.5251976,-525.5719409148993
54958.5456323,54958.5456323,-612.0515786805504
54958.5660668,54958.5660668,-651.7825798867757
54958.5865014,54958.5865014,-394.0361468314677
54958.606936,54958.606936,-18.37378420458064
54958.6273706,54958.6273706,156.78860609647649
54958.6478053,54958.6478053,194.40845641702538
54958.6682398,54958.6682398,147.3755348476308
54958.6886745,54958.6886745,247.13400560492317
54958.709109,54958.709109,149.73520170653677
54958.7295435,54958.7295435,-180.61981453340132
54958.7499781,54958.7499781,-278.15649091272047
54958.7704128,54958.7704128,-115.86010811412615
54958.7908473,54958.7908473,-219.71660927177376
54958.8112819,54958.8112819,-357.259679796749
54958.8317166,54958.8317166,-215.04148051599293
54958.8521511,54958.8521511,-181.05467071436257
54958.8725857,54958.8725857,-37.378679881413575
54958.8930203,54958.8930203,173.51564882412612
54958.9134549,54958.9134549,327.8509594235099
54958.9338894,54958.9338894,323.54836861422524
54958.954324,54958.954324,389.5511105371744
54958.9747587,54958.9747587,463.78971854785846
54958.9951932,54958.9951932,648.8443947572989
54959.0156278,54959.0156278,628.9329597539516
54959.0360623,54959.0360623,579.2466146824979
54959.056497,54959.056497,349.72807518548063
54959.0769316,54959.0769316,-52.73237552551454
54959.0973661,54959.0973661,-227.93524754432798
54959.1178008,54959.1178008,-85.54708648126785
54959.1382354,54959.1382354,101.88022948785748
54959.1586699,54959.1586699,294.0493630461183
54959.1791044,54959.1791044,323.7627419379789
54959.1995391,54959.1995391,71.16533280864117
54959.2199737,54959.2199737,-230.83899887138372
54959.2404082,54959.2404082,-547.5454109556521
54959.2608418,54959.2608418,-474.7130345672402
54959.2812775,54959.2812775,-401.8804973241455
54959.301712,54959.301712,-98.40893793298864
54959.3221466,54959.3221466,230.57143284655368
54959.3425813,54959.3425813,467.64649792805267
54959.3630157,54959.3630157,516.9255896111722
54959.3834503,54959.3834503,281.98563032766396
54959.403885,54959.403885,35.61223411921435
54959.4243196,54959.4243196,-100.54239478931878
54959.4447541,54959.4447541,-77.165216576082
54959.4651887,54959.4651887,-148.28115821267602
54959.4856234,54959.4856234,-241.7298549419395
54959.5060579,54959.5060579,-120.73543582849845
54959.5264925,54959.5264925,66.53242501684238
54959.5469269,54959.5469269,35.73017330489059
54959.5673616,54959.5673616,75.10489231553336
54959.5877962,54959.5877962,-5.763554647082234
54959.6082308,54959.6082308,67.49163514333749
54959.6286654,54959.6286654,48.02139366361685
54959.6491,54959.6491,-13.63530971931494
54959.6695346,54959.6695346,205.16849039708197
54959.6899691,54959.6899691,512.7849158157946
54959.7104038,54959.7104038,879.7373428505592
54959.7308383,54959.7308383,777.8790975346739
54959.7512728,54959.7512728,596.4427387198291
54959.7717075,54959.7717075,516.6257516008818
54959.7921421,54959.7921421,345.1885388157015
54959.8125766,54959.8125766,366.4135074255483
54959.8330112,54959.8330112,558.9468176241992
54959.8534459,54959.8534459,640.0722421074631
54959.8738804,54959.8738804,637.8683508939694
54959.8943149,54959.8943149,387.68138699393126
54959.9147496,54959.9147496,333.7104586518811
54959.9351842,54959.9351842,-57.318212321710746
54959.9556187,54959.9556187,-341.0155019555281
54959.9760533,54959.9760533,-279.758665310048
54959.996488,54959.996488,-72.92139248984188
54960.0169226,54960.0169226,44.38687450139052
54960.0373571,54960.0373571,319.18635367819775
54960.0577917,54960.0577917,244.2695177943005
54960.0782263,54960.0782263,-79.94287861448741
54960.0986608,54960.0986608,-260.895555182603
54960.1190954,54960.1190954,-206.94672916017856
54960.1395301,54960.1395301,-144.46708262936005
54960.1599647,54960.1599647,-22.90690745021779
54960.1803992,54960.1803992,163.22140982906234
54960.2008339,54960.2008339,169.519368831626
54960.2212684,54960.2212684,-212.55843657596648
54960.2417029,54960.2417029,-458.18636217235587
54960.2621375,54960.2621375,-391.47555935186176
54960.2825722,54960.2825722,-298.06624086233774
54960.3030067,54960.3030067,-227.574162768213
54960.3234413,54960.3234413,-309.2955375975144
54960.343876,54960.343876,-325.8850533504738
54960.3643104,54960.3643104,-460.67404006703333
54960.384745,54960.384745,-492.4354430580777
54960.4051796,54960.4051796,-536.6371687604562
54960.4256142,54960.4256142,-405.2202080626587
54960.4460488,54960.4460488,-257.03524524049845
54960.4664834,54960.4664834,133.63523418314801
54960.4869181,54960.4869181,298.1246085310204
54960.5073525,54960.5073525,108.13704749844526
54960.5277871,54960.5277871,17.544379238404037
54960.5482216,54960.5482216,-126.50035398825983
54960.5686563,54960.5686563,-259.0227855449867
54960.5890909,54960.5890909,-271.4613495953464
54960.6095255,54960.6095255,-367.0244405938972
54960.6299601,54960.6299601,-111.40607218289583
54960.6503946,54960.6503946,212.89322052754866
54960.6708292,54960.6708292,244.10500127865134
54960.6912637,54960.6912637,-17.794845343827795
54960.7116984,54960.7116984,-336.8710563658113
54960.732133,54960.732133,-417.6712507685885
54960.7525675,54960.7525675,-238.34901842827324
54960.7730021,54960.7730021,-252.6428090328003
54960.7934367,54960.7934367,-132.71259786904568
54960.8138712,54960.8138712,21.963690972520766
54960.8343058,54960.8343058,185.39465540424223
54960.8547405,54960.8547405,-125.18016009896861
54960.875175,54960.875175,-442.7456147874877
54960.8956096,54960.8956096,-372.91497808267206
54960.9160442,54960.9160442,-127.9609870073879
54960.9364787,54960.9364787,136.85695596958092
54960.9569133,54960.9569133,254.47195367423757
54960.9773479,54960.9773479,235.73832824344444
54960.9977826,54960.9977826,108.57091613993106
54961.0182171,54961.0182171,267.7216815473959
54961.0386517,54961.0386517,241.6083822337261
54961.0590861,54961.0590861,332.21264442420545
54961.0795208,54961.0795208,319.27959223152135
54961.0999554,54961.0999554,329.5646472523546
54961.12039,54961.12039,391.33873022149146
54961.1408246,54961.1408246,531.1690023481676
54961.1612592,54961.1612592,588.1443005661678
54961.1816937,54961.1816937,410.03685644686
54961.2021282,54961.2021282,124.37002472852075
54961.2225629,54961.2225629,-78.44873215470702
54961.2429975,54961.2429975,-49.660356455203825
54961.263432,54961.263432,116.33853238259124
54961.2838667,54961.2838667,345.364017493417
54961.3043012,54961.3043012,224.82038433181114
54961.3247357,54961.3247357,-138.1740261692894
54961.3451693,54961.3451693,-227.05712525622022
54961.365605,54961.365605,-315.94000463860215
54961.3860396,54961.3860396,-311.1027593048259
54961.4064742,54961.4064742,-166.88385734836706
54961.4269087,54961.4269087,-308.9514969629607
54961.4473433,54961.4473433,-330.8879669118912
54961.4677779,54961.4677779,-445.45277113627907
54961.4882124,54961.4882124,-588.1876739722668
54961.5086471,54961.5086471,-698.9653338361609
54961.5290816,54961.5290816,-723.7748723886124
54961.5495161,54961.5495161,-708.7316734346495
54961.5699508,54961.5699508,-571.7790508006241
54961.5903854,54961.5903854,-380.3730411561821
54961.6108199,54961.6108199,-432.83862939407595
54961.6312545,54961.6312545,-431.70195208888924
54961.6516891,54961.6516891,-556.3097318595271
54961.6721237,54961.6721237,-644.6669565289192
54961.6925582,54961.6925582,-296.95708859744065
54961.7129929,54961.7129929,-240.4724858968204
54961.7334275,54961.7334275,-366.24378071925435
54961.7538619,54961.7538619,-499.1923180289716
54961.7742965,54961.7742965,-455.00735053368584
54961.7947301,54961.7947301,-387.8434414591314
54961.8151657,54961.8151657,-320.6798021826835
54961.8356003,54961.8356003,-267.54408896276027
54961.8560349,54961.8560349,-469.2615993908613
54961.8764694,54961.8764694,-701.2718203154841
54961.896904,54961.896904,-917.7326326559371
54961.9173386,54961.9173386,-808.7804836588024
54961.9377732,54961.9377732,-545.1414147370646
54961.9582078,54961.9582078,-402.25261427418064
54961.9786423,54961.9786423,-393.5541713146991
54961.9990768,54961.9990768,-223.77065171329622
54962.0195115,54962.0195115,-423.65236207052675
54962.0399461,54962.0399461,-648.9772087393324
54962.0603806,54962.0603806,-583.06284488274
54962.0808152,54962.0808152,-424.0704455231933
54962.1012498,54962.1012498,-150.0615181215101
54962.1216844,54962.1216844,60.06818867291389
54962.1421189,54962.1421189,123.51395405756053
54962.1625536,54962.1625536,75.56409117693129
54962.1829881,54962.1829881,85.07989040598963
54962.2034226,54962.2034226,138.10321021398576
54962.2238573,54962.2238573,-21.41791035326018
54962.2442919,54962.2442919,-203.15662590744608
54962.2647264,54962.2647264,-173.78521355856805
54962.2851609,54962.2851609,-2.893403276185513
54962.3055956,54962.3055956,115.87131439159238
54962.3260301,54962.3260301,336.74241288458035
54962.3464647,54962.3464647,146.8210342636361
54962.3668994,54962.3668994,134.40905240264325
54962.3873338,54962.3873338,-1.1630967539915957
54962.4077684,54962.4077684,-309.52032726389035
54962.428203,54962.428203,-314.0843888339458
54962.4486377,54962.4486377,-278.29720457754667
54962.4690721,54962.4690721,-210.63529300419754
54962.4895067,54962.4895067,-215.487832491633
54962.5099414,54962.5099414,63.1872911815556
